Time, Song, Artist, Album ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:30,Turn! Turn! Turn! (To Everything There Is A Season),The Byrds,Turn! Turn! Turn!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:30,Carry On,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:34,Sad And Deep As You (Live),Traffic,Welcome to the Canteen (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:38,Southern Cross,Crosby & Stills & Nash,Daylight Again,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:43,Lay Me Down,Crosby & Nash,Crosby & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:46,Go Back Home,Stephen Stills,Stephen Stills,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:49,Can't Find My Way Home,Blind Faith,Blind Faith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 16:52,Medley: The Loner, Cinnamon Girl, Down By The River,Crosby & Stills & Nash & Young,4 Way Street (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:02,You Ain't Going Nowhere,The Byrds,Sweetheart of the Rodeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:04,Feelin' Alright?,Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:09,Fresh Air,Quicksilver Messenger Service,Just for Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:14,Nights In White Satin,The Moody Blues,Nights In White Satin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:19,Treetop Flyer (Demo),Stephen Stills,Just Roll Tape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:26,Woodstock,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:30,Dear Mr. Fantasy,Traffic,Mr. Fantasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:35,Wasn't Born To Follow,The Byrds,The Notorious Byrd Brothers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:37,Long Distance Love,Little Feat.,40 Feat: The Hot Tomato Anthology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:40,Helplessly Hoping,Crosby & Stills & Nash,Crosby, Stills & Nash,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:43,Gimme Some Lovin',The Spencer Davis Group,Live In Manchester 2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:46,Teach Your Children,Crosby & Stills & Nash & Young,Déjà Vu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:48,Stranger To Himself,Traffic,John Barleycorn Must Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:52,Let My Love Open The Door,Pete Townshend,Empty Glass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:55,My Back Pages,The Byrds,Younger Than Yesterday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 17:58,Empty Pages,Traffic,John Barleycorn Must Die,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:03,This Old House,Crosby, Stills, Nash & Young,American Dream,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:08,Walk Away,James Gang,Thirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:11,Heart Full Of Soul,The Yardbirds,The Yardbirds Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:14,Embryonic Journey,Jefferson Airplane,Surrealistic Pillow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:16,You Can All Join In,Traffic,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:19,Skin It Back,Little Feat.,Hoy-Hoy!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:24,Cowgirl In The Sand,Crosby & Stills & Nash & Young,4 Way Street (Live),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:40,Before They Make Me Run,Great Lake Swimmers,Before They Make Me Run,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:45,Illegal Smile,Paul Mooney & Janet Bean,Illegal Smile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:51,Come Sail Away,Mike Massé,Come Sail Away - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:52,Everything I Own,The Shaken Bakers,Acoustic Playlist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:56,Wild World (Acoustic Version),Joanna Wang,The Things We Do for Love,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 18:59,In My Room,Echo In The Canyon Feat. Fiona Apple & Jakob Dylan,Echo in the Canyon (feat. Jakob Dylan) [Original Motion Picture Soundtrack],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:02,Wonderwall,Ryan Adams,Love Is Hell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:06,Lay Lady Lay,Bryan Adams,Tracks of My Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:09,Always On My Mind,Ane Brun,Leave Me Breathless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:14,Take On Me (Grey's Anatomy Version),Aqualung,Take On Me (Grey's Anatomy Version) - Single,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:17,The Safety Dance,Sleeping At Last,Covers, Vol. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-01-15 19:21,You Can't Always Get What You Want,Ituana,Chill in Saint Tropez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
