time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact,x_speed,y_speed
1626098410,4ca73b,51.27561951,-0.630080764,195.8782264,160.9940158,5.20192,RYR3NC  ,FALSE,FALSE,FALSE,6305,9593.58,9723.12,1626098410,1626098410,63.791056,-185.19984
1626098410,4ca56c,51.81440968,-3.698425293,215.2571647,276.1738545,-0.32512,RYR901  ,FALSE,FALSE,FALSE,2712,10363.2,10530.84,1626098410,1626098410,-214.008704,23.14998
1626098410,406d78,52.860672,-1.208572388,233.5428448,332.5882748,5.85216,BAW49   ,FALSE,FALSE,FALSE,7622,8023.86,8183.88,1626098410,1626098410,-107.518796,207.320932
1626098410,4ca9bb,53.29956572,-3.305269129,222.725736,113.8415553,0,EIN168E ,FALSE,FALSE,FALSE,1416,10050.78,10226.04,1626098410,1626098410,203.719824,-90.0277
1626098410,406266,50.85900879,0.337755358,219.0377864,318.5229145,-9.42848,LNX57AX ,FALSE,FALSE,FALSE,5732,7155.18,7269.48,1626098410,1626098410,-145.073208,164.107636
1626098410,400982,51.26225358,0.140609741,145.523105,315.8593722,-3.57632,BAW347  ,FALSE,FALSE,FALSE,6752,3901.44,3992.88,1626098410,1626098410,-101.345468,104.432132
1626098410,4ca875,51.84384155,-3.068822912,224.2137942,283.9405912,0,EIWFI   ,FALSE,FALSE,FALSE,5451,8534.4,8694.42,1626098410,1626098410,-217.609812,54.01662
1626098410,4ca764,51.4736473,-0.779037476,143.3075156,338.962489,0,RYR25SQ ,FALSE,FALSE,FALSE,2264,3657.6,3741.42,1626098410,1626098410,-51.4444,133.75544
1626098410,4076f4,53.76480878,-2.899582807,53.02767376,272.2239612,-2.60096,GKCMI   ,FALSE,FALSE,FALSE,451,441.96,480.06,1626098410,1626098410,-52.987732,2.057776
1626098410,40473d,52.40560913,-3.12828064,41.05894845,344.7448813,-0.32512,GKEVH   ,FALSE,FALSE,FALSE,,777.24,0,1626098404,1626098406,-10.803324,39.612188
1626098410,407995,54.13911438,-2.306344169,251.7040489,326.92704,7.47776,BAW287  ,FALSE,FALSE,FALSE,7741,9654.54,9822.18,1626098410,1626098410,-137.356548,210.92204
1626098410,40673b,52.50640869,-1.693572998,198.8850085,143.3079469,0,ENZ613F ,FALSE,FALSE,FALSE,1470,10050.78,,1626098410,1626098410,118.836564,-159.47764
1626098410,406c72,53.34127808,-2.682468959,93.43356798,265.2625567,-6.5024,EZY612  ,FALSE,FALSE,FALSE,7624,571.5,632.46,1626098410,1626098410,-93.114364,-7.71666
1626098410,40649f,50.62653622,-0.341541187,200.1583864,157.3234963,7.80288,BAW480  ,FALSE,FALSE,FALSE,2056,6728.46,6865.62,1626098410,1626098410,77.1666,-184.685396
1626098410,4b1886,50.50598145,-0.007661518,204.9818886,148.0251014,13.32992,SWR30K  ,FALSE,FALSE,FALSE,2025,7018.02,7147.56,1626098409,1626098410,108.547684,-173.882072
1626098410,401d8f,52.85595703,-1.269302368,43.02302277,153.7413404,-1.30048,GBGGO   ,FALSE,FALSE,FALSE,7010,419.1,426.72,1626098410,1626098410,19.034428,-38.5833
1626098410,4b84a8,51.21239614,-0.957489014,99.50602401,23.78203042,-3.2512,TCAEH   ,FALSE,FALSE,FALSE,7461,906.78,944.88,1626098410,1626098410,40.126632,91.056588
1626098410,407c5d,53.05384827,-3.002624512,94.35525658,161.5650512,-1.30048,GWJMI   ,FALSE,FALSE,FALSE,430,754.38,807.72,1626098410,1626098410,29.837752,-89.513256
1626098410,a0e1e8,51.93910217,-3.579864502,239.9251218,280.8762469,3.57632,N156QS  ,FALSE,FALSE,FALSE,7737,11795.76,12062.46,1626098410,1626098410,-235.615352,45.271072
